hour,price_level,avg_vol,freq
0,4位-1,367.2700000000001,1w
0,4位-2,416.19043478260863,1w
0,4位-3,475.026923076923,1w
0,4位-4,587.73,1w
0,4位-1,111.63687500000002,1d
0,4位-2,146.34973856209146,1d
0,4位-3,175.44661538461537,1d
0,4位-4,92.07999999999993,1d
0,4位-1,38.30133333333333,4h
0,4位-2,64.13519480519479,4h
0,4位-3,65.35374358974359,4h
0,4位-4,98.82000000000016,4h
4,4位-1,32.39133333333337,4h
4,4位-2,43.41928104575161,4h
4,4位-3,54.709847715736025,4h
8,4位-1,40.32066666666666,4h
8,4位-2,42.475894039735095,4h
8,4位-3,59.632914572864344,4h
12,4位-1,50.44866666666668,4h
12,4位-2,68.50032467532468,4h
12,4位-3,83.29666666666667,4h
12,4位-4,32.26000000000022,4h
16,4位-1,47.268888888888895,4h
16,4位-2,61.678133333333314,4h
16,4位-3,74.6330412371134,4h
16,4位-4,98.85999999999997,4h
20,4位-1,32.732000000000035,4h
20,4位-2,53.11398692810455,4h
20,4位-3,67.19912820512819,4h
20,4位-4,40.179999999999836,4h
0,4位-1,25.138749999999987,1h
0,4位-2,29.935389610389606,1h
0,4位-3,32.39390624999999,1h
0,4位-4,38.546666666666624,1h
1,4位-1,22.51624999999997,1h
1,4位-2,34.86335526315788,1h
1,4位-3,34.69464285714285,1h
1,4位-4,36.0,1h
2,4位-1,16.41400000000002,1h
2,4位-2,28.523612903225793,1h
2,4位-3,33.109381443298986,1h
2,4位-4,36.84999999999991,1h
3,4位-1,15.888666666666676,1h
3,4位-2,21.857337662337656,1h
3,4位-3,27.33297435897436,1h
3,4位-4,33.820000000000164,1h
4,4位-1,19.950000000000014,1h
4,4位-2,18.61217105263155,1h
4,4位-3,27.35324873096442,1h
4,4位-4,35.38999999999987,1h
5,4位-1,14.376875000000027,1h
5,4位-2,20.27907894736837,1h
5,4位-3,26.217806122448973,1h
5,4位-4,28.200000000000273,1h
6,4位-1,13.139333333333328,1h
6,4位-2,20.720196078431353,1h
6,4位-3,26.734489795918353,1h
6,4位-4,34.7800000000002,1h
7,4位-1,15.458666666666659,1h
7,4位-2,22.3864705882353,1h
7,4位-3,26.18532994923858,1h
8,4位-1,16.827999999999975,1h
8,4位-2,21.162052980132415,1h
8,4位-3,30.8068686868687,1h
8,4位-4,26.670000000000073,1h
9,4位-1,19.53800000000001,1h
9,4位-2,22.02543046357616,1h
9,4位-3,26.32838383838385,1h
9,4位-4,27.18000000000029,1h
10,4位-1,20.28875000000002,1h
10,4位-2,20.518133333333335,1h
10,4位-3,27.496969696969703,1h
10,4位-4,26.0,1h
11,4位-1,19.591333333333342,1h
11,4位-2,19.30251655629138,1h
11,4位-3,27.568643216080407,1h
12,4位-1,22.035999999999984,1h
12,4位-2,23.51738255033554,1h
12,4位-3,33.892799999999994,1h
12,4位-4,27.029999999999745,1h
13,4位-1,31.380000000000017,1h
13,4位-2,31.975629139072865,1h
13,4位-3,38.06646464646464,1h
13,4位-4,24.73999999999978,1h
14,4位-1,26.332142857142895,1h
14,4位-2,41.351363636363665,1h
14,4位-3,45.22178571428572,1h
14,4位-4,50.19999999999982,1h
15,4位-1,23.158000000000037,1h
15,4位-2,36.07935064935066,1h
15,4位-3,42.07641025641027,1h
15,4位-4,19.389999999999873,1h
16,4位-1,22.124999999999943,1h
16,4位-2,32.77376623376623,1h
16,4位-3,37.42092783505156,1h
16,4位-4,34.309999999999945,1h
17,4位-1,24.394705882352955,1h
17,4位-2,30.71671052631577,1h
17,4位-3,37.01417525773194,1h
17,4位-4,60.90499999999997,1h
18,4位-1,26.517058823529396,1h
18,4位-2,29.81453333333333,1h
18,4位-3,33.44597938144331,1h
18,4位-4,50.20999999999989,1h
19,4位-1,19.550000000000008,1h
19,4位-2,25.710533333333338,1h
19,4位-3,36.11999999999998,1h
19,4位-4,34.23333333333327,1h
20,4位-1,15.33187500000004,1h
20,4位-2,26.08909090909089,1h
20,4位-3,36.392565445026165,1h
20,4位-4,38.35999999999998,1h
21,4位-1,15.684375000000017,1h
21,4位-2,28.672156862745094,1h
21,4位-3,33.0378125,1h
21,4位-4,32.679999999999836,1h
22,4位-1,16.88250000000002,1h
22,4位-2,28.61874172185427,1h
22,4位-3,32.23030927835051,1h
22,4位-4,23.629999999999956,1h
23,4位-1,16.093333333333355,1h
23,4位-2,21.988366013071897,1h
23,4位-3,26.298153846153834,1h
23,4位-4,27.779999999999745,1h
0,4位-1,15.6865625,30m
0,4位-2,20.451400651465804,30m
0,4位-3,22.207253886010342,30m
0,4位-4,21.835999999999967,30m
1,4位-1,14.324999999999996,30m
1,4位-2,22.825247524752466,30m
1,4位-3,23.928520408163266,30m
1,4位-4,23.216666666666544,30m
2,4位-1,11.008064516129046,30m
2,4位-2,19.40679611650485,30m
2,4位-3,22.72808785529717,30m
2,4位-4,19.023333333333238,30m
3,4位-1,10.684000000000015,30m
3,4位-2,15.353462783171505,30m
3,4位-3,18.800796915167087,30m
3,4位-4,21.625,30m
4,4位-1,12.625000000000016,30m
4,4位-2,13.231344262295075,30m
4,4位-3,18.7127226463104,30m
4,4位-4,22.019999999999754,30m
5,4位-1,10.102187500000014,30m
5,4位-2,14.13421052631576,30m
5,4位-3,17.836581632653047,30m
5,4位-4,18.299999999999955,30m
6,4位-1,10.171666666666654,30m
6,4位-2,14.628441558441551,30m
6,4位-3,18.11587179487179,30m
6,4位-4,23.160000000000082,30m
7,4位-1,11.147666666666684,30m
7,4位-2,15.281078431372562,30m
7,4位-3,18.2070737913486,30m
7,4位-4,18.309999999999945,30m
8,4位-1,12.36766666666665,30m
8,4位-2,14.875794701986727,30m
8,4位-3,20.97553030303031,30m
8,4位-4,17.985000000000127,30m
9,4位-1,13.864666666666654,30m
9,4位-2,15.51996710526316,30m
9,4位-3,18.5358883248731,30m
9,4位-4,21.7650000000001,30m
10,4位-1,13.754062500000025,30m
10,4位-2,14.411471571906347,30m
10,4位-3,19.58062972292191,30m
10,4位-4,17.204999999999927,30m
11,4位-1,13.835666666666672,30m
11,4位-2,13.619039735099337,30m
11,4位-3,18.732676767676747,30m
11,4位-4,20.74000000000001,30m
12,4位-1,16.202333333333332,30m
12,4位-2,16.150766666666648,30m
12,4位-3,23.18462311557789,30m
12,4位-4,16.659999999999854,30m
13,4位-1,20.88133333333334,30m
13,4位-2,21.809601328903646,30m
13,4位-3,26.458232323232313,30m
13,4位-4,14.193333333333308,30m
14,4位-1,17.403571428571443,30m
14,4位-2,28.289642857142866,30m
14,4位-3,30.995204081632647,30m
14,4位-4,33.549999999999955,30m
15,4位-1,16.50333333333337,30m
15,4位-2,24.840521172638432,30m
15,4位-3,28.795524296675193,30m
15,4位-4,38.91000000000008,30m
16,4位-1,15.71419354838705,30m
16,4位-2,22.850324675324668,30m
16,4位-3,26.194755784061698,30m
16,4位-4,24.50499999999988,30m
17,4位-1,17.659393939393954,30m
17,4位-2,21.023782894736836,30m
17,4位-3,25.45241645244215,30m
17,4位-4,34.696666666666566,30m
18,4位-1,17.529696969696957,30m
18,4位-2,20.67301324503312,30m
18,4位-3,23.15561855670103,30m
18,4位-4,31.73599999999997,30m
19,4位-1,13.972058823529384,30m
19,4位-2,18.09534883720932,30m
19,4位-3,24.3101291989664,30m
19,4位-4,27.351666666666688,30m
20,4位-1,11.604375000000019,30m
20,4位-2,18.582091503267957,30m
20,4位-3,24.976171874999995,30m
20,4位-4,27.21833333333325,30m
21,4位-1,11.382187500000029,30m
21,4位-2,19.77617647058823,30m
21,4位-3,23.03388020833333,30m
21,4位-4,24.40333333333312,30m
22,4位-1,11.637575757575771,30m
22,4位-2,19.71235099337747,30m
22,4位-3,22.318041237113388,30m
22,4位-4,18.63000000000011,30m
23,4位-1,11.496451612903243,30m
23,4位-2,15.445049180327862,30m
23,4位-3,18.62161953727506,30m
23,4位-4,25.98999999999978,30m
0,4位-1,10.550952380952388,15m
0,4位-2,14.052565359477125,15m
0,4位-3,15.653221649484523,15m
0,4位-4,14.50666666666661,15m
1,4位-1,10.131846153846157,15m
1,4位-2,15.536441515650736,15m
1,4位-3,16.601379310344818,15m
1,4位-4,13.971999999999843,15m
2,4位-1,8.15887096774196,15m
2,4位-2,13.27525203252033,15m
2,4位-3,15.39617268041238,15m
2,4位-4,13.590000000000016,15m
3,4位-1,7.223833333333327,15m
3,4位-2,10.787867528271398,15m
3,4位-3,13.115418275418271,15m
3,4位-4,14.05749999999989,15m
4,4位-1,8.371016949152555,15m
4,4位-2,9.156890343698853,15m
4,4位-3,12.809083969465638,15m
4,4位-4,15.05499999999995,15m
5,4位-1,7.1603125000000105,15m
5,4位-2,9.841449752883017,15m
5,4位-3,12.372448979591825,15m
5,4位-4,14.807999999999993,15m
6,4位-1,6.920819672131127,15m
6,4位-2,10.169853420195428,15m
6,4位-3,12.488309859154924,15m
6,4位-4,13.289999999999964,15m
7,4位-1,8.249333333333341,15m
7,4位-2,10.489245901639352,15m
7,4位-3,12.542287166454885,15m
7,4位-4,14.933333333333243,15m
8,4位-1,8.48849999999998,15m
8,4位-2,10.442993421052625,15m
8,4位-3,14.348324873096447,15m
8,4位-4,13.4050000000002,15m
9,4位-1,9.581016949152534,15m
9,4位-2,10.61172131147541,15m
9,4位-3,13.048259212198225,15m
9,4位-4,15.642500000000155,15m
10,4位-1,9.505781250000016,15m
10,4位-2,9.960099999999985,15m
10,4位-3,13.556249999999997,15m
10,4位-4,13.277500000000032,15m
11,4位-1,9.400000000000004,15m
11,4位-2,9.457074380165281,15m
11,4位-3,13.21569620253164,15m
11,4位-4,13.285999999999968,15m
12,4位-1,10.949999999999996,15m
12,4位-2,11.534009983361049,15m
12,4位-3,15.922204030226698,15m
12,4位-4,11.971999999999934,15m
13,4位-1,14.710327868852469,15m
13,4位-2,14.921694352159463,15m
13,4位-3,18.370618686868678,15m
13,4位-4,11.609999999999946,15m
14,4位-1,13.397368421052636,15m
14,4位-2,19.26270358306189,15m
14,4位-3,21.37936224489795,15m
14,4位-4,22.819999999999983,15m
15,4位-1,11.450333333333337,15m
15,4位-2,17.11952768729642,15m
15,4位-3,20.091649616368283,15m
15,4位-4,31.664999999999964,15m
16,4位-1,11.341774193548362,15m
16,4位-2,15.829544715447158,15m
16,4位-3,18.375507060333756,15m
16,4位-4,18.302499999999895,15m
17,4位-1,11.750454545454556,15m
17,4位-2,14.57293442622951,15m
17,4位-3,17.542938144329888,15m
17,4位-4,27.94666666666664,15m
18,4位-1,11.790307692307676,15m
18,4位-2,14.293509060955525,15m
18,4位-3,16.23729624838292,15m
18,4位-4,19.983636363636336,15m
19,4位-1,9.353088235294084,15m
19,4位-2,12.658521594684393,15m
19,4位-3,16.566098191214454,15m
19,4位-4,19.266666666666612,15m
20,4位-1,8.262222222222254,15m
20,4位-2,12.994462540716595,15m
20,4位-3,17.04354628422425,15m
20,4位-4,17.064999999999902,15m
21,4位-1,8.042656250000022,15m
21,4位-2,13.305122749590828,15m
21,4位-3,15.769505851755516,15m
21,4位-4,16.93333333333324,15m
22,4位-1,8.142307692307696,15m
22,4位-2,13.645447019867538,15m
22,4位-3,15.084465894465891,15m
22,4位-4,13.343000000000028,15m
23,4位-1,7.70380952380953,15m
23,4位-2,10.711019736842099,15m
23,4位-3,13.068120978120966,15m
23,4位-4,17.082499999999925,15m
0,4位-1,5.816878306878318,5m
0,4位-2,7.573784078516896,5m
0,4位-3,8.651581654522063,5m
0,4位-4,8.709166666666684,5m
1,4位-1,5.43266666666667,5m
1,4位-2,8.245309589041094,5m
1,4位-3,8.909368331199307,5m
1,4位-4,8.922941176470564,5m
2,4位-1,4.434759358288774,5m
2,4位-2,7.207979359043999,5m
2,4位-3,8.33628155755242,5m
2,4位-4,8.763333333333321,5m
3,4位-1,4.02861111111111,5m
3,4位-2,5.834423491379301,5m
3,4位-3,7.135499785499782,5m
3,4位-4,7.519230769230664,5m
4,4位-1,4.53016949152543,5m
4,4位-2,5.046946564885494,5m
4,4位-3,6.953983877810771,5m
4,4位-4,8.243333333333302,5m
5,4位-1,3.83326315789474,5m
5,4位-2,5.268759604829853,5m
5,4位-3,6.581995753715491,5m
5,4位-4,7.742307692307664,5m
6,4位-1,4.011311475409828,5m
6,4位-2,5.472020640955998,5m
6,4位-3,6.7005119453924875,5m
6,4位-4,7.075833333333359,5m
7,4位-1,4.48855555555556,5m
7,4位-2,5.778009814612869,5m
7,4位-3,6.817568943572333,5m
7,4位-4,7.19333333333336,5m
8,4位-1,4.647666666666655,5m
8,4位-2,5.755717415114996,5m
8,4位-3,7.66441811256877,5m
8,4位-4,8.00000000000004,5m
9,4位-1,5.176271186440673,5m
9,4位-2,5.731419989077006,5m
9,4位-3,7.20710593220339,5m
9,4位-4,7.8441666666667516,5m
10,4位-1,5.020947368421056,5m
10,4位-2,5.491773207337399,5m
10,4位-3,7.282509457755361,5m
10,4位-4,7.880833333333385,5m
11,4位-1,5.115879120879123,5m
11,4位-2,5.259371554575519,5m
11,4位-3,7.219472351203033,5m
11,4位-4,7.366666666666697,5m
12,4位-1,5.818784530386747,5m
12,4位-2,6.36780852241283,5m
12,4位-3,8.587584033613442,5m
12,4位-4,7.346666666666541,5m
13,4位-1,7.720270270270274,5m
13,4位-2,8.110327595780118,5m
13,4位-3,10.096477511559474,5m
13,4位-4,6.24399999999999,5m
14,4位-1,7.772947976878619,5m
14,4位-2,10.789070652173912,5m
14,4位-3,11.612199575371541,5m
14,4位-4,13.702499999999986,5m
15,4位-1,6.506500000000005,5m
15,4位-2,9.487552902875745,5m
15,4位-3,11.191957356076752,5m
15,4位-4,15.628333333333293,5m
16,4位-1,6.176720430107516,5m
16,4位-2,8.72842818428184,5m
16,4位-3,10.33924294268605,5m
16,4位-4,9.881818181818165,5m
17,4位-1,6.538578680203042,5m
17,4位-2,8.009537037037035,5m
17,4位-3,9.514345955249558,5m
17,4位-4,14.328235294117643,5m
18,4位-1,6.2445595854922304,5m
18,4位-2,7.970598572213067,5m
18,4位-3,9.01672836848901,5m
18,4位-4,11.711612903225834,5m
19,4位-1,5.453366336633654,5m
19,4位-2,7.079078366445914,5m
19,4位-3,8.939417601380491,5m
19,4位-4,11.423611111111073,5m
20,4位-1,4.470740740740747,5m
20,4位-2,7.110724400871457,5m
20,4位-3,9.22407022106631,5m
20,4位-4,10.280833333333273,5m
21,4位-1,4.4187046632124405,5m
21,4位-2,6.990937329700276,5m
21,4位-3,8.609114583333323,5m
21,4位-4,8.583333333333282,5m
22,4位-1,4.377128205128213,5m
22,4位-2,7.1941046831955875,5m
22,4位-3,8.022753872633384,5m
22,4位-4,6.977352941176484,5m
23,4位-1,4.240414507772026,5m
23,4位-2,5.7479725274725215,5m
23,4位-3,7.274690721649479,5m
23,4位-4,8.971851851851843,5m
0,4位-1,2.317078059071733,1m
0,4位-2,3.0023174187922366,1m
0,4位-3,3.4032513708019136,1m
0,4位-4,3.0007547169811444,1m
1,4位-1,2.155819672131149,1m
1,4位-2,3.250744878957168,1m
1,4位-3,3.491054070214393,1m
1,4位-4,3.686931818181816,1m
2,4位-1,1.799424920127798,1m
2,4位-2,2.86206806567359,1m
2,4位-3,3.2386097811217485,1m
2,4位-4,3.3905882352941035,1m
3,4位-1,1.6219269102990057,1m
3,4位-2,2.326675649455641,1m
3,4位-3,2.8154089777701454,1m
3,4位-4,2.876231884057958,1m
4,4位-1,1.7496704545454578,1m
4,4位-2,1.9837587183958165,1m
4,4位-3,2.677750997199353,1m
4,4位-4,3.344918032786877,1m
5,4位-1,1.4929936974789917,1m
5,4位-2,2.0370338238524086,1m
5,4位-3,2.538314234784821,1m
5,4位-4,2.630327868852501,1m
6,4位-1,1.5055725190839673,1m
6,4位-2,2.1378129074315537,1m
6,4位-3,2.5852875426621122,1m
6,4位-4,3.0237288135593006,1m
7,4位-1,1.7787555555555592,1m
7,4位-2,2.248370798777828,1m
7,4位-3,2.657842538389751,1m
7,4位-4,2.9877551020408553,1m
8,4位-1,1.9038777777777756,1m
8,4位-2,2.266007229707525,1m
8,4位-3,2.9945802301963416,1m
8,4位-4,3.2107272727273,1m
9,4位-1,1.9841363636363645,1m
9,4位-2,2.224036006546646,1m
9,4位-3,2.821809241203897,1m
9,4位-4,3.2811666666667025,1m
10,4位-1,1.9893789473684271,1m
10,4位-2,2.1601679644048932,1m
10,4位-3,2.8418243697479,1m
10,4位-4,3.4903333333333495,1m
11,4位-1,2.035240700218823,1m
11,4位-2,2.0712827859819254,1m
11,4位-3,2.8330477397549636,1m
11,4位-4,2.955454545454565,1m
12,4位-1,2.308101545253865,1m
12,4位-2,2.5236084983954847,1m
12,4位-3,3.3918834005376324,1m
12,4位-4,2.802830188679223,1m
13,4位-1,3.114145021645022,1m
13,4位-2,3.24752942482789,1m
13,4位-3,4.048370470024382,1m
13,4位-4,2.7948051948051984,1m
14,4位-1,3.1264889918887664,1m
14,4位-2,4.3210862237686145,1m
14,4位-3,4.6970507381639175,1m
14,4位-4,5.962037037037042,1m
15,4位-1,2.6565333333333356,1m
15,4位-2,3.8650666955861595,1m
15,4位-3,4.586274325708426,1m
15,4位-4,7.1825396825396535,1m
16,4位-1,2.4505114254624587,1m
16,4位-2,3.526807496479253,1m
16,4位-3,4.19781672080697,1m
16,4位-4,4.1688461538461485,1m
17,4位-1,2.6811370558375636,1m
17,4位-2,3.2296991825613066,1m
17,4位-3,3.8210364699810677,1m
17,4位-4,5.522168674698808,1m
18,4位-1,2.5015336787564793,1m
18,4位-2,3.213271428571427,1m
18,4位-3,3.5972494834710687,1m
18,4位-4,4.808427672955972,1m
19,4位-1,2.2620059582919563,1m
19,4位-2,2.8972963126517968,1m
19,4位-3,3.591007330746005,1m
19,4位-4,4.533722222222205,1m
20,4位-1,1.7666524520255897,1m
20,4位-2,2.8343190237524514,1m
20,4位-3,3.623963097713091,1m
20,4位-4,3.9668888888888736,1m
21,4位-1,1.668774662512983,1m
21,4位-2,2.623976034858389,1m
21,4位-3,3.272071720065989,1m
21,4位-4,3.231555555555542,1m
22,4位-1,1.7363179487179528,1m
22,4位-2,2.7793745870953535,1m
22,4位-3,3.0342010509087767,1m
22,4位-4,2.4677011494252907,1m
23,4位-1,1.7135477178423244,1m
23,4位-2,2.260994396220191,1m
23,4位-3,2.8664904880778086,1m
23,4位-4,3.3009493670885686,1m
