weekday,hour,avg_vol,freq
0,0,2.9822641509433963,1d
1,0,2.5365384615384623,1d
2,0,2.3463461538461536,1d
3,0,2.306538461538462,1d
4,0,2.6203846153846158,1d
5,0,2.041153846153846,1d
6,0,2.206730769230769,1d
0,0,1.300188679245283,4h
0,4,1.1930188679245282,4h
0,8,1.019622641509434,4h
0,12,1.3015094339622637,4h
0,16,1.1203773584905659,4h
0,20,1.1503773584905657,4h
1,0,1.0743396226415096,4h
1,4,0.8845283018867923,4h
1,8,0.9554716981132081,4h
1,12,1.343396226415094,4h
1,16,0.9781132075471699,4h
1,20,0.828846153846154,4h
2,0,0.9471153846153848,4h
2,4,0.8086538461538466,4h
2,8,0.8469230769230773,4h
2,12,1.196346153846154,4h
2,16,1.0973076923076925,4h
2,20,0.8859615384615385,4h
3,0,0.9763461538461535,4h
3,4,0.7942307692307689,4h
3,8,0.790576923076923,4h
3,12,1.1640384615384618,4h
3,16,0.9680769230769228,4h
3,20,0.815769230769231,4h
4,0,0.9507692307692305,4h
4,4,0.9100000000000003,4h
4,8,0.9149999999999997,4h
4,12,1.2342307692307695,4h
4,16,1.0928846153846155,4h
4,20,0.8317307692307693,4h
5,0,0.8017307692307687,4h
5,4,0.6801923076923082,4h
5,8,0.6663461538461539,4h
5,12,0.8594230769230767,4h
5,16,0.8271153846153847,4h
5,20,0.7298076923076918,4h
6,0,0.7990384615384615,4h
6,4,0.7301923076923079,4h
6,8,0.6903846153846155,4h
6,12,0.8719230769230767,4h
6,16,0.8892307692307692,4h
6,20,1.0949999999999998,4h
0,0,0.5943396226415094,1h
0,1,0.6218867924528303,1h
0,2,0.542075471698113,1h
0,3,0.5600000000000002,1h
0,4,0.46773584905660415,1h
0,5,0.5211320754716984,1h
0,6,0.6045283018867925,1h
0,7,0.5647169811320759,1h
0,8,0.6132075471698116,1h
0,9,0.4930188679245281,1h
0,10,0.4660377358490563,1h
0,11,0.44792452830188634,1h
0,12,0.49792452830188666,1h
0,13,0.6030188679245284,1h
0,14,0.7511320754716981,1h
0,15,0.6437735849056605,1h
0,16,0.6101886792452831,1h
0,17,0.5899999999999994,1h
0,18,0.48547169811320756,1h
0,19,0.5139622641509433,1h
0,20,0.5367924528301883,1h
0,21,0.6400000000000001,1h
0,22,0.5511320754716982,1h
0,23,0.4375471698113212,1h
1,0,0.5867924528301889,1h
1,1,0.5849056603773581,1h
1,2,0.5018867924528302,1h
1,3,0.42094339622641525,1h
1,4,0.44132075471698123,1h
1,5,0.442830188679245,1h
1,6,0.453396226415094,1h
1,7,0.4216981132075469,1h
1,8,0.5084905660377361,1h
1,9,0.46849056603773587,1h
1,10,0.47075471698113197,1h
1,11,0.4326415094339628,1h
1,12,0.4856603773584906,1h
1,13,0.6537735849056607,1h
1,14,0.7626415094339623,1h
1,15,0.6898113207547171,1h
1,16,0.6049056603773583,1h
1,17,0.5086792452830192,1h
1,18,0.4754716981132076,1h
1,19,0.44981132075471697,1h
1,20,0.43339622641509457,1h
1,21,0.4273584905660379,1h
1,22,0.4213207547169812,1h
1,23,0.34769230769230725,1h
2,0,0.5278846153846156,1h
2,1,0.5467307692307692,1h
2,2,0.4640384615384612,1h
2,3,0.4192307692307694,1h
2,4,0.42730769230769283,1h
2,5,0.3840384615384621,1h
2,6,0.43173076923076964,1h
2,7,0.4169230769230768,1h
2,8,0.44384615384615417,1h
2,9,0.4188461538461539,1h
2,10,0.39249999999999985,1h
2,11,0.3948076923076924,1h
2,12,0.5632692307692306,1h
2,13,0.5930769230769228,1h
2,14,0.6180769230769225,1h
2,15,0.5561538461538466,1h
2,16,0.5801923076923072,1h
2,17,0.4867307692307688,1h
2,18,0.5167307692307694,1h
2,19,0.5611538461538467,1h
2,20,0.5409615384615389,1h
2,21,0.4165384615384617,1h
2,22,0.4098076923076919,1h
2,23,0.34615384615384603,1h
3,0,0.4728846153846154,1h
3,1,0.518269230769231,1h
3,2,0.4903846153846155,1h
3,3,0.3907692307692307,1h
3,4,0.40211538461538454,1h
3,5,0.35557692307692323,1h
3,6,0.3749999999999997,1h
3,7,0.3653846153846156,1h
3,8,0.41480769230769216,1h
3,9,0.3682692307692308,1h
3,10,0.39519230769230757,1h
3,11,0.37673076923076937,1h
3,12,0.514615384615385,1h
3,13,0.6038461538461539,1h
3,14,0.6428846153846155,1h
3,15,0.5836538461538464,1h
3,16,0.503076923076923,1h
3,17,0.46826923076923094,1h
3,18,0.4355769230769234,1h
3,19,0.45634615384615357,1h
3,20,0.45269230769230756,1h
3,21,0.3859615384615384,1h
3,22,0.451538461538462,1h
3,23,0.3405769230769233,1h
4,0,0.4598076923076923,1h
4,1,0.4917307692307696,1h
4,2,0.4607692307692303,1h
4,3,0.3767307692307691,1h
4,4,0.37269230769230793,1h
4,5,0.38153846153846194,1h
4,6,0.4548076923076928,1h
4,7,0.4598076923076925,1h
4,8,0.4828846153846157,1h
4,9,0.42211538461538456,1h
4,10,0.39019230769230734,1h
4,11,0.38192307692307687,1h
4,12,0.5176923076923082,1h
4,13,0.6048076923076928,1h
4,14,0.6261538461538462,1h
4,15,0.6309615384615387,1h
4,16,0.5169230769230769,1h
4,17,0.5448076923076933,1h
4,18,0.5948076923076921,1h
4,19,0.4063461538461538,1h
4,20,0.43269230769230776,1h
4,21,0.37326923076923113,1h
4,22,0.36961538461538507,1h
4,23,0.3630769230769229,1h
5,0,0.4267307692307694,1h
5,1,0.46346153846153837,1h
5,2,0.3482692307692308,1h
5,3,0.3615384615384611,1h
5,4,0.33115384615384613,1h
5,5,0.3623076923076928,1h
5,6,0.3203846153846153,1h
5,7,0.329615384615385,1h
5,8,0.32769230769230784,1h
5,9,0.3267307692307692,1h
5,10,0.3367307692307685,1h
5,11,0.3271153846153846,1h
5,12,0.3923076923076919,1h
5,13,0.40269230769230757,1h
5,14,0.4009615384615387,1h
5,15,0.46923076923076873,1h
5,16,0.43461538461538496,1h
5,17,0.4407692307692311,1h
5,18,0.3625000000000002,1h
5,19,0.3773076923076926,1h
5,20,0.430384615384615,1h
5,21,0.35230769230769204,1h
5,22,0.3655769230769226,1h
5,23,0.31903846153846155,1h
6,0,0.3857692307692306,1h
6,1,0.43326923076923163,1h
6,2,0.39788461538461617,1h
6,3,0.37500000000000006,1h
6,4,0.3861538461538464,1h
6,5,0.33557692307692333,1h
6,6,0.3338461538461541,1h
6,7,0.345192307692308,1h
6,8,0.3723076923076926,1h
6,9,0.33980769230769237,1h
6,10,0.3138461538461537,1h
6,11,0.34653846153846174,1h
6,12,0.38923076923076866,1h
6,13,0.4324999999999997,1h
6,14,0.45576923076923087,1h
6,15,0.4451923076923078,1h
6,16,0.47499999999999964,1h
6,17,0.4419230769230772,1h
6,18,0.42538461538461536,1h
6,19,0.3917307692307694,1h
6,20,0.4098076923076922,1h
6,21,0.5086538461538463,1h
6,22,0.5644230769230766,1h
6,23,0.46096153846153876,1h
0,0,0.3980188679245283,30m
0,1,0.4227358490566037,30m
0,2,0.37773584905660396,30m
0,3,0.3946226415094343,30m
0,4,0.3224528301886793,30m
0,5,0.3461320754716984,30m
0,6,0.400377358490566,30m
0,7,0.3926415094339623,30m
0,8,0.4055660377358491,30m
0,9,0.3638679245283016,30m
0,10,0.3269811320754718,30m
0,11,0.31528301886792454,30m
0,12,0.3531132075471694,30m
0,13,0.4183962264150943,30m
0,14,0.5152830188679244,30m
0,15,0.4491509433962265,30m
0,16,0.4252830188679245,30m
0,17,0.4065094339622639,30m
0,18,0.3315094339622642,30m
0,19,0.3551886792452829,30m
0,20,0.3713207547169811,30m
0,21,0.4220754716981134,30m
0,22,0.38462264150943415,30m
0,23,0.3059433962264155,30m
1,0,0.4038679245283019,30m
1,1,0.3990566037735846,30m
1,2,0.34594339622641523,30m
1,3,0.298679245283019,30m
1,4,0.304433962264151,30m
1,5,0.2997169811320753,30m
1,6,0.307641509433962,30m
1,7,0.29915094339622633,30m
1,8,0.33839622641509454,30m
1,9,0.3217924528301888,30m
1,10,0.33433962264150935,30m
1,11,0.3202830188679247,30m
1,12,0.3380188679245283,30m
1,13,0.45905660377358526,30m
1,14,0.5235849056603771,30m
1,15,0.47566037735849087,30m
1,16,0.4275471698113203,30m
1,17,0.36669811320754714,30m
1,18,0.33028301886792466,30m
1,19,0.32292452830188667,30m
1,20,0.31490566037735845,30m
1,21,0.3046226415094344,30m
1,22,0.2943396226415097,30m
1,23,0.25057142857142856,30m
2,0,0.35980769230769244,30m
2,1,0.37798076923076923,30m
2,2,0.3167307692307692,30m
2,3,0.29067307692307714,30m
2,4,0.2925961538461538,30m
2,5,0.2738461538461541,30m
2,6,0.3055769230769232,30m
2,7,0.2945192307692308,30m
2,8,0.30817307692307705,30m
2,9,0.29624999999999996,30m
2,10,0.2839423076923075,30m
2,11,0.27817307692307697,30m
2,12,0.3582692307692306,30m
2,13,0.40336538461538474,30m
2,14,0.431634615384615,30m
2,15,0.387596153846154,30m
2,16,0.40528846153846143,30m
2,17,0.33999999999999975,30m
2,18,0.36451923076923076,30m
2,19,0.3837500000000001,30m
2,20,0.3655769230769232,30m
2,21,0.3047115384615383,30m
2,22,0.29653846153846114,30m
2,23,0.2392307692307692,30m
3,0,0.3323076923076924,30m
3,1,0.36009615384615423,30m
3,2,0.35201923076923075,30m
3,3,0.28105769230769256,30m
3,4,0.28240384615384606,30m
3,5,0.25028846153846146,30m
3,6,0.2637499999999997,30m
3,7,0.257403846153846,30m
3,8,0.28528846153846166,30m
3,9,0.25980769230769235,30m
3,10,0.27365384615384597,30m
3,11,0.2685576923076921,30m
3,12,0.3497115384615385,30m
3,13,0.4281730769230767,30m
3,14,0.4537500000000001,30m
3,15,0.41105769230769246,30m
3,16,0.36115384615384627,30m
3,17,0.3228846153846154,30m
3,18,0.31250000000000033,30m
3,19,0.30701923076923027,30m
3,20,0.32365384615384585,30m
3,21,0.2741346153846151,30m
3,22,0.30038461538461575,30m
3,23,0.2468269230769232,30m
4,0,0.3165384615384617,30m
4,1,0.3488461538461541,30m
4,2,0.3167307692307692,30m
4,3,0.2557692307692308,30m
4,4,0.2566346153846154,30m
4,5,0.265192307692308,30m
4,6,0.303269230769231,30m
4,7,0.31336538461538466,30m
4,8,0.3272115384615385,30m
4,9,0.2975961538461539,30m
4,10,0.2833653846153843,30m
4,11,0.26576923076923087,30m
4,12,0.35644230769230806,30m
4,13,0.41500000000000015,30m
4,14,0.44625000000000004,30m
4,15,0.438173076923077,30m
4,16,0.3726923076923079,30m
4,17,0.3755769230769237,30m
4,18,0.3822115384615383,30m
4,19,0.28721153846153846,30m
4,20,0.29500000000000015,30m
4,21,0.2798076923076923,30m
4,22,0.25865384615384596,30m
4,23,0.26624999999999993,30m
5,0,0.2989423076923078,30m
5,1,0.3074038461538465,30m
5,2,0.2520192307692307,30m
5,3,0.23682692307692296,30m
5,4,0.23692307692307693,30m
5,5,0.23951923076923112,30m
5,6,0.2272115384615384,30m
5,7,0.22336538461538472,30m
5,8,0.2300000000000003,30m
5,9,0.22298076923076934,30m
5,10,0.23432692307692282,30m
5,11,0.2385576923076924,30m
5,12,0.2605769230769229,30m
5,13,0.2875000000000002,30m
5,14,0.2897115384615385,30m
5,15,0.3174038461538462,30m
5,16,0.32538461538461544,30m
5,17,0.30307692307692313,30m
5,18,0.2556730769230769,30m
5,19,0.25865384615384623,30m
5,20,0.3130769230769228,30m
5,21,0.2670192307692306,30m
5,22,0.24538461538461498,30m
5,23,0.2325961538461539,30m
6,0,0.27913461538461526,30m
6,1,0.2886538461538468,30m
6,2,0.2734615384615388,30m
6,3,0.2577884615384616,30m
6,4,0.2625961538461541,30m
6,5,0.23278846153846183,30m
6,6,0.2335576923076924,30m
6,7,0.23432692307692313,30m
6,8,0.24682692307692336,30m
6,9,0.24711538461538443,30m
6,10,0.22298076923076932,30m
6,11,0.2379807692307693,30m
6,12,0.26980769230769186,30m
6,13,0.30461538461538445,30m
6,14,0.3199038461538463,30m
6,15,0.31278846153846135,30m
6,16,0.3156730769230766,30m
6,17,0.3040384615384618,30m
6,18,0.2899999999999999,30m
6,19,0.2664423076923078,30m
6,20,0.2801923076923077,30m
6,21,0.3381730769230771,30m
6,22,0.3873076923076922,30m
6,23,0.3280769230769231,30m
0,0,0.28457547169811326,15m
0,1,0.2899528301886792,15m
0,2,0.2602358490566039,15m
0,3,0.25495283018867937,15m
0,4,0.22542452830188683,15m
0,5,0.23066037735849065,15m
0,6,0.26400943396226423,15m
0,7,0.2617924528301888,15m
0,8,0.28292452830188675,15m
0,9,0.2641037735849053,15m
0,10,0.230188679245283,15m
0,11,0.2231132075471699,15m
0,12,0.2491509433962262,15m
0,13,0.2906132075471698,15m
0,14,0.3474999999999998,15m
0,15,0.3100471698113209,15m
0,16,0.29839622641509445,15m
0,17,0.2969811320754718,15m
0,18,0.23509433962264145,15m
0,19,0.23608490566037735,15m
0,20,0.256556603773585,15m
0,21,0.27504716981132066,15m
0,22,0.2565094339622643,15m
0,23,0.2149056603773587,15m
1,0,0.2792452830188679,15m
1,1,0.28254716981132083,15m
1,2,0.237924528301887,15m
1,3,0.21202830188679261,15m
1,4,0.21452830188679248,15m
1,5,0.21344339622641495,15m
1,6,0.21033018867924516,15m
1,7,0.21146226415094352,15m
1,8,0.23212264150943393,15m
1,9,0.2234905660377359,15m
1,10,0.23033018867924535,15m
1,11,0.22537735849056603,15m
1,12,0.24051886792452834,15m
1,13,0.3152830188679248,15m
1,14,0.3624999999999998,15m
1,15,0.33301886792452856,15m
1,16,0.3015566037735847,15m
1,17,0.25745283018867904,15m
1,18,0.23075471698113215,15m
1,19,0.2233962264150943,15m
1,20,0.22495283018867931,15m
1,21,0.2113207547169813,15m
1,22,0.2029716981132076,15m
1,23,0.1781990521327016,15m
2,0,0.24918269230769236,15m
2,1,0.26394230769230764,15m
2,2,0.2230769230769229,15m
2,3,0.20221153846153858,15m
2,4,0.2069711538461538,15m
2,5,0.18783653846153855,15m
2,6,0.2080288461538464,15m
2,7,0.2101442307692306,15m
2,8,0.21668269230769255,15m
2,9,0.20701923076923084,15m
2,10,0.19658653846153853,15m
2,11,0.19562499999999988,15m
2,12,0.2542307692307691,15m
2,13,0.2881250000000002,15m
