statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,4.396923076923077
std,1w,True,2.5913646480310057
min,1w,True,1.0599999999999987
25%,1w,True,2.522499999999999
50%,1w,True,3.965
75%,1w,True,5.520000000000003
max,1w,True,13.23
count,1w,False,46.0
mean,1w,False,4.4554347826086955
std,1w,False,2.5824972466559397
min,1w,False,1.0599999999999987
25%,1w,False,2.75
50%,1w,False,3.965
75%,1w,False,5.700000000000003
max,1w,False,13.23
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,3.9483333333333337
std,1w,Only Holidays,2.8632388420574806
min,1w,Only Holidays,1.6900000000000013
25%,1w,Only Holidays,2.0025000000000004
50%,1w,Only Holidays,3.125
75%,1w,Only Holidays,4.435
max,1w,Only Holidays,9.25
count,1d,True,365.0
mean,1d,True,1.5875068493150684
std,1d,True,1.1794725856543258
min,1d,True,0.3200000000000003
25%,1d,True,0.8200000000000003
50%,1d,True,1.240000000000002
75%,1d,True,2.0
max,1d,True,9.100000000000001
count,1d,False,250.0
mean,1d,False,1.6842800000000002
std,1d,False,1.1972218852703458
min,1d,False,0.3200000000000003
25%,1d,False,0.8925000000000001
50%,1d,False,1.3200000000000003
75%,1d,False,2.0175
max,1d,False,9.100000000000001
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,1.3771304347826088
std,1d,Only Holidays,1.1162592332518395
min,1d,Only Holidays,0.3299999999999983
25%,1d,Only Holidays,0.6450000000000014
50%,1d,Only Holidays,1.0399999999999991
75%,1d,Only Holidays,1.5999999999999996
max,1d,Only Holidays,7.209999999999997
count,4h,True,2189.0
mean,4h,True,0.6225308359981727
std,4h,True,0.5426521720917978
min,4h,True,0.08999999999999986
25%,4h,True,0.29999999999999716
50%,4h,True,0.46000000000000085
75%,4h,True,0.759999999999998
max,4h,True,6.189999999999998
count,4h,False,1499.0
mean,4h,False,0.6611607738492329
std,4h,False,0.5652846325436903
min,4h,False,0.09999999999999787
25%,4h,False,0.3200000000000003
50%,4h,False,0.5
75%,4h,False,0.8000000000000007
max,4h,False,6.189999999999998
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,0.538608695652174
std,4h,Only Holidays,0.4796676769709025
min,4h,Only Holidays,0.08999999999999986
25%,4h,Only Holidays,0.25
50%,4h,Only Holidays,0.39000000000000057
75%,4h,Only Holidays,0.6300000000000017
max,4h,Only Holidays,4.120000000000001
count,1h,True,8754.0
mean,1h,True,0.3019362577107608
std,1h,True,0.27644411812061137
min,1h,True,0.029999999999997584
25%,1h,True,0.14000000000000057
50%,1h,True,0.22000000000000242
75%,1h,True,0.36999999999999744
max,1h,True,4.469999999999999
count,1h,False,5994.0
mean,1h,False,0.32040373707040376
std,1h,False,0.2865665325887076
min,1h,False,0.030000000000001137
25%,1h,False,0.15000000000000213
50%,1h,False,0.23999999999999844
75%,1h,False,0.39000000000000057
max,1h,False,4.469999999999999
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,0.26182971014492756
std,1h,Only Holidays,0.2484346498936222
min,1h,Only Holidays,0.029999999999997584
25%,1h,Only Holidays,0.120000000000001
50%,1h,Only Holidays,0.18999999999999773
75%,1h,Only Holidays,0.3100000000000023
max,1h,Only Holidays,3.490000000000002
count,30m,True,17508.0
mean,30m,True,0.20951507882111034
std,30m,True,0.19646362038232137
min,30m,True,0.019999999999999574
25%,30m,True,0.09999999999999787
50%,30m,True,0.15000000000000213
75%,30m,True,0.259999999999998
max,30m,True,4.469999999999999
count,30m,False,11988.0
mean,30m,False,0.22211211211211213
std,30m,False,0.20294505585777475
min,30m,False,0.019999999999999574
25%,30m,False,0.10000000000000142
50%,30m,False,0.16999999999999815
75%,30m,False,0.2699999999999996
max,30m,False,4.469999999999999
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,0.1821576086956522
std,30m,Only Holidays,0.1785751232102071
min,30m,Only Holidays,0.019999999999999574
25%,30m,Only Holidays,0.08000000000000185
50%,30m,Only Holidays,0.129999999999999
75%,30m,Only Holidays,0.21999999999999886
max,30m,Only Holidays,3.490000000000002
count,15m,True,35015.0
mean,15m,True,0.14529658717692417
std,15m,True,0.1395573233468876
min,15m,True,0.00999999999999801
25%,15m,True,0.07000000000000028
50%,15m,True,0.10999999999999943
75%,15m,True,0.17999999999999972
max,15m,True,4.469999999999999
count,15m,False,23975.0
mean,15m,False,0.1539649635036496
std,15m,False,0.14416982158540181
min,15m,False,0.00999999999999801
25%,15m,False,0.07000000000000028
50%,15m,False,0.11000000000000298
75%,15m,False,0.18999999999999773
max,15m,False,4.469999999999999
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,0.1264719202898551
std,15m,Only Holidays,0.1269577127604252
min,15m,Only Holidays,0.00999999999999801
25%,15m,Only Holidays,0.05999999999999872
50%,15m,Only Holidays,0.08999999999999986
75%,15m,Only Holidays,0.15000000000000213
max,15m,Only Holidays,3.490000000000002
count,5m,True,105044.0
mean,5m,True,0.0786525646395796
std,5m,True,0.08016961280553803
min,5m,True,0.0
25%,5m,True,0.030000000000001137
50%,5m,True,0.05999999999999872
75%,5m,True,0.09999999999999787
max,5m,True,3.9800000000000004
count,5m,False,71924.0
mean,5m,False,0.08350481063344639
std,5m,False,0.08285753678364847
min,5m,False,0.0
25%,5m,False,0.03999999999999915
50%,5m,False,0.05999999999999872
75%,5m,False,0.10000000000000142
max,5m,False,3.9800000000000004
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,0.06811533816425124
std,5m,Only Holidays,0.07289420419505249
min,5m,Only Holidays,0.0
25%,5m,Only Holidays,0.030000000000001137
50%,5m,Only Holidays,0.04999999999999716
75%,5m,Only Holidays,0.08000000000000185
max,5m,Only Holidays,3.1900000000000013
count,1m,True,525219.0
mean,1m,True,0.029007671085775642
std,1m,True,0.035775189532641624
min,1m,True,0.0
25%,1m,True,0.00999999999999801
50%,1m,True,0.019999999999999574
75%,1m,True,0.03999999999999915
max,1m,True,2.2900000000000027
count,1m,False,359619.0
mean,1m,False,0.031043242987717552
std,1m,False,0.03697096624094249
min,1m,False,0.0
25%,1m,False,0.010000000000001563
50%,1m,False,0.019999999999999574
75%,1m,False,0.03999999999999915
max,1m,False,2.2900000000000027
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,0.024587198067632852
std,1m,Only Holidays,0.03259490447341493
min,1m,Only Holidays,0.0
25%,1m,Only Holidays,0.00999999999999801
50%,1m,Only Holidays,0.019999999999999574
75%,1m,Only Holidays,0.030000000000001137
max,1m,Only Holidays,1.4199999999999982
